item_id,title,description,date,time,person,priority,source_message_id
TASK_MSG_0001,"For today: Calendar update: family dinner, 2026-09-19 at 10:","For today: Calendar update: family dinner, 2026-09-19 at 10:00, the library.",2026-09-19,10:00,,medium,MSG_0001
TASK_MSG_0002,Can you review the privacy checklist before 2026-09-09?,Can you review the privacy checklist before 2026-09-09?,2026-09-09,,,medium,MSG_0002
TASK_MSG_0003,FYI: Reminder: mentor catch-up happens on 2026-09-16 at 11:0,FYI: Reminder: mentor catch-up happens on 2026-09-16 at 11:00 in the city clinic.,2026-09-16,11:00,,medium,MSG_0003
TASK_MSG_0019,Can you help? I need you to review the model results by 2026,Can you help? I need you to review the model results by 2026-09-03.,2026-09-03,,,medium,MSG_0019
TASK_MSG_0024,Just checking—I might prefer evening meetings now.,Just checking—I might prefer evening meetings now.,,,,medium,MSG_0024
TASK_MSG_0033,Just checking—The event registration desk opens at 9 AM.,Just checking—The event registration desk opens at 9 AM.,,,,medium,MSG_0033
TASK_MSG_0035,For today: Complete the onboarding form is due on 2026-09-10,For today: Complete the onboarding form is due on 2026-09-10.,2026-09-10,,,medium,MSG_0035
TASK_MSG_0037,One more thing: The review could be Friday afternoon.,One more thing: The review could be Friday afternoon.,,,,medium,MSG_0037
TASK_MSG_0041,"For today: If possible, review the file before the meeting.","For today: If possible, review the file before the meeting.",,,,medium,MSG_0041
TASK_MSG_0042,For today: The client discussion is scheduled for 2026-09-12,For today: The client discussion is scheduled for 2026-09-12 at 11:00 in Meeting Room A.,2026-09-12,11:00,,medium,MSG_0042
TASK_MSG_0043,"Quick update: Calendar update: family dinner, 2026-09-04 at ","Quick update: Calendar update: family dinner, 2026-09-04 at 11:00, the college auditorium.",2026-09-04,11:00,,medium,MSG_0043
TASK_MSG_0044,Just checking—Please complete the Python exercise by 2026-09,Just checking—Please complete the Python exercise by 2026-09-09.,2026-09-09,,,medium,MSG_0044
TASK_MSG_0045,Important: Complete the onboarding form is due on 2026-09-07,Important: Complete the onboarding form is due on 2026-09-07.,2026-09-07,,,medium,MSG_0045
TASK_MSG_0046,For today: Don't forget to call the service centre; deadline,For today: Don't forget to call the service centre; deadline is 2026-09-09.,2026-09-09,,,medium,MSG_0046
TASK_MSG_0051,Important: Reminder: doctor appointment happens on 2026-09-1,Important: Reminder: doctor appointment happens on 2026-09-16 at 15:00 in the city clinic.,2026-09-16,15:00,,medium,MSG_0051
TASK_MSG_0054,Just checking—The review could be Friday afternoon.,Just checking—The review could be Friday afternoon.,,,,medium,MSG_0054
TASK_MSG_0056,Please note: Please call Maya when you are free.,Please note: Please call Maya when you are free.,,,,medium,MSG_0056
TASK_MSG_0058,Quick update: Can you review the privacy checklist before 20,Quick update: Can you review the privacy checklist before 2026-09-04?,2026-09-04,,,medium,MSG_0058
TASK_MSG_0060,Quick update: Complete the onboarding form is due on 2026-09,Quick update: Complete the onboarding form is due on 2026-09-08.,2026-09-08,,,medium,MSG_0060
TASK_MSG_0064,Can you help? The event registration desk opens at 9 AM.,Can you help? The event registration desk opens at 9 AM.,,,,medium,MSG_0064
TASK_MSG_0066,Can you help? The project review is scheduled for 2026-09-02,Can you help? The project review is scheduled for 2026-09-02 at 9:00 in Meeting Room A.,2026-09-02,,,medium,MSG_0066
TASK_MSG_0084,"Hi, I might prefer evening meetings now.","Hi, I might prefer evening meetings now.",,,,medium,MSG_0084
TASK_MSG_0089,Just checking—Don't forget to call the service centre; deadl,Just checking—Don't forget to call the service centre; deadline is 2026-09-04.,2026-09-04,,,medium,MSG_0089
TASK_MSG_0096,Quick update: The event registration desk opens at 9 AM.,Quick update: The event registration desk opens at 9 AM.,,,,medium,MSG_0096
TASK_MSG_0098,Quick update: The review could be Friday afternoon.,Quick update: The review could be Friday afternoon.,,,,medium,MSG_0098
